place_id,place_name,city,province,category_clean,c1_ticket_price_z,c2_rating_z,c4_facility_score_z,category_alam,category_bahari,category_belanja,category_budaya,category_hiburan,category_religi
1,Monumen Nasional,Jakarta,DKI Jakarta,budaya,-0.07009420663890252,0.7545442442790101,-0.43791018704105006,0,0,0,1,0,0
2,Kota Tua,Jakarta,DKI Jakarta,budaya,-0.3714337865818478,0.7545442442790101,-0.43791018704105006,0,0,0,1,0,0
3,Dunia Fantasi,Jakarta,DKI Jakarta,hiburan,3.6966505426479137,0.7545442442790101,-0.43791018704105006,0,0,0,0,1,0
4,Taman Mini Indonesia Indah (TMII),Jakarta,DKI Jakarta,hiburan,-0.22076399661037516,0.2745794193155063,-0.43791018704105006,0,0,0,0,1,0
5,Atlantis Water Adventure,Jakarta,DKI Jakarta,hiburan,1.0448622391499949,0.2745794193155063,-0.43791018704105006,0,0,0,0,1,0
6,Taman Impian Jaya Ancol,Jakarta,DKI Jakarta,hiburan,0.005240688346833808,0.2745794193155063,-0.43791018704105006,0,0,0,0,1,0
7,Kebun Binatang Ragunan,Jakarta,DKI Jakarta,alam,-0.31116587059325873,0.2745794193155063,-0.43791018704105006,1,0,0,0,0,0
8,Ocean Ecopark,Jakarta,DKI Jakarta,hiburan,2.34062243290466,-2.1252447055020216,-0.43791018704105006,0,0,0,0,1,0
9,Pelabuhan Marina,Jakarta,DKI Jakarta,bahari,2.2652875379189235,-0.2053854056479976,-0.43791018704105006,0,1,0,0,0,0
10,Pulau Tidung,Jakarta,DKI Jakarta,bahari,1.8886130629902418,0.2745794193155063,-0.43791018704105006,0,1,0,0,0,0
11,Pulau Bidadari,Jakarta,DKI Jakarta,bahari,-0.29609889159611147,0.7545442442790101,-0.43791018704105006,0,1,0,0,0,0
12,Pulau Pari,Jakarta,DKI Jakarta,bahari,1.8886130629902418,-2.1252447055020216,-0.43791018704105006,0,1,0,0,0,0
13,Pulau Pramuka,Jakarta,DKI Jakarta,bahari,-0.29609889159611147,-1.1653150555750096,-0.43791018704105006,0,1,0,0,0,0
14,Pulau Pelangi,Jakarta,DKI Jakarta,bahari,13.18884731085069,1.7144738942060223,-0.43791018704105006,0,1,0,0,0,0
15,Pasar Seni,Jakarta,DKI Jakarta,belanja,-0.3714337865818478,-0.2053854056479976,-0.43791018704105006,0,0,1,0,0,0
16,Jembatan Kota Intan,Jakarta,DKI Jakarta,budaya,-0.3714337865818478,-0.6853502306115058,-0.43791018704105006,0,0,0,1,0,0
17,Museum Fatahillah,Jakarta,DKI Jakarta,budaya,-0.29609889159611147,-0.2053854056479976,-0.43791018704105006,0,0,0,1,0,0
18,Museum Bank Indonesia,Jakarta,DKI Jakarta,budaya,-0.34129982858755326,1.2345090692425182,1.619796820883024,0,0,0,1,0,0
19,Kidzania,Jakarta,DKI Jakarta,hiburan,2.415957327890396,0.7545442442790101,-0.43791018704105006,0,0,0,0,1,0
20,Museum Taman Prasasti,Jakarta,DKI Jakarta,budaya,-0.34129982858755326,0.2745794193155063,-0.43791018704105006,0,0,0,1,0,0
21,Museum Wayang,Jakarta,DKI Jakarta,budaya,-0.29609889159611147,0.2745794193155063,-0.43791018704105006,0,0,0,1,0,0
22,Masjid Istiqlal,Jakarta,DKI Jakarta,religi,-0.3714337865818478,1.2345090692425182,1.619796820883024,0,0,0,0,0,1
23,Gereja Katedral,Jakarta,DKI Jakarta,religi,-0.3714337865818478,1.7144738942060223,1.619796820883024,0,0,0,0,0,1
24,Museum Nasional,Jakarta,DKI Jakarta,budaya,-0.29609889159611147,0.7545442442790101,-0.43791018704105006,0,0,0,1,0,0
25,Pasar Tanah Abang,Jakarta,DKI Jakarta,belanja,-0.3714337865818478,-2.1252447055020216,3.677503828807098,0,0,1,0,0,0
26,Pecinan Glodok,Jakarta,DKI Jakarta,belanja,-0.3714337865818478,-0.6853502306115058,-0.43791018704105006,0,0,1,0,0,0
27,Sea World,Jakarta,DKI Jakarta,hiburan,1.3612687980900875,0.2745794193155063,-0.43791018704105006,0,0,0,0,1,0
28,Wisata Agro Edukatif Istana Susu Cibugary,Jakarta,DKI Jakarta,hiburan,0.15591047831830646,0.2745794193155063,-0.43791018704105006,0,0,0,0,1,0
29,Wisata Kuliner Pecenongan,Jakarta,DKI Jakarta,belanja,-0.3714337865818478,2.674403544133034,1.619796820883024,0,0,1,0,0,0
30,Taman Menteng,Jakarta,DKI Jakarta,hiburan,-0.3714337865818478,0.2745794193155063,-0.43791018704105006,0,0,0,0,1,0
31,Wisata Alam Mangrove Angke,Jakarta,DKI Jakarta,alam,0.005240688346833808,-0.6853502306115058,-0.43791018704105006,1,0,0,0,0,0
32,Setu Babakan,Jakarta,DKI Jakarta,budaya,-0.3714337865818478,-0.2053854056479976,1.619796820883024,0,0,0,1,0,0
33,Taman Suropati,Jakarta,DKI Jakarta,hiburan,-0.3714337865818478,0.7545442442790101,-0.43791018704105006,0,0,0,0,1,0
34,Pasar Taman Puring,Jakarta,DKI Jakarta,belanja,-0.3714337865818478,-0.2053854056479976,-0.43791018704105006,0,0,1,0,0,0
35,Grand Indonesia Mall,Jakarta,DKI Jakarta,belanja,-0.3714337865818478,1.2345090692425182,-0.43791018704105006,0,0,1,0,0,0
36,Skyrink - Mall Taman Anggrek,Jakarta,DKI Jakarta,hiburan,1.2859339031043513,0.2745794193155063,-0.43791018704105006,0,0,0,0,1,0
37,Bumi Perkemahan Cibubur,Jakarta,DKI Jakarta,hiburan,-0.22076399661037516,0.2745794193155063,-0.43791018704105006,0,0,0,0,1,0
