place_id,place_name,city,province,category_clean,c1_ticket_price_z,c2_rating_z,c4_facility_score_z,category_alam,category_bahari,category_belanja,category_budaya,category_hiburan,category_religi
1,Monumen Nasional,Jakarta,DKI Jakarta,budaya,-0.10633980940395729,0.329439536210163,-2.027074049084704,0,0,0,1,0,0
2,Kota Tua,Jakarta,DKI Jakarta,budaya,-0.5932444617884562,0.329439536210163,-2.027074049084704,0,0,0,1,0,0
3,Dunia Fantasi,Jakarta,DKI Jakarta,hiburan,5.97996834540228,0.329439536210163,-2.027074049084704,0,0,0,0,1,0
4,Taman Mini Indonesia Indah (TMII),Jakarta,DKI Jakarta,hiburan,-0.34979213559620675,-0.11125891606410736,-2.027074049084704,0,0,0,0,1,0
5,Atlantis Water Adventure,Jakarta,DKI Jakarta,hiburan,1.695207404418689,-0.11125891606410736,-2.027074049084704,0,0,0,0,1,0
6,Taman Impian Jaya Ancol,Jakarta,DKI Jakarta,hiburan,0.015386353692167442,-0.11125891606410736,-2.027074049084704,0,0,0,0,1,0
7,Kebun Binatang Ragunan,Jakarta,DKI Jakarta,alam,-0.4958635313115564,-0.11125891606410736,-2.027074049084704,1,0,0,0,0,0
8,Ocean Ecopark,Jakarta,DKI Jakarta,hiburan,3.7888974096720345,-2.314751177435467,-2.027074049084704,0,0,0,0,1,0
9,Pelabuhan Marina,Jakarta,DKI Jakarta,bahari,3.6671712465759096,-0.5519573683383777,-2.027074049084704,0,1,0,0,0,0
10,Pulau Tidung,Jakarta,DKI Jakarta,bahari,3.058540431095286,-0.11125891606410736,-2.027074049084704,0,1,0,0,0,0
11,Pulau Bidadari,Jakarta,DKI Jakarta,bahari,-0.4715182986923315,0.329439536210163,-2.027074049084704,0,1,0,0,0,0
12,Pulau Pari,Jakarta,DKI Jakarta,bahari,3.058540431095286,-2.314751177435467,-2.027074049084704,0,1,0,0,0,0
13,Pulau Pramuka,Jakarta,DKI Jakarta,bahari,-0.4715182986923315,-1.4333542728869222,-2.027074049084704,0,1,0,0,0,0
14,Pulau Pelangi,Jakarta,DKI Jakarta,bahari,21.317464895513996,1.2108364407587076,-2.027074049084704,0,1,0,0,0,0
15,Pasar Seni,Jakarta,DKI Jakarta,belanja,-0.5932444617884562,-0.5519573683383777,-2.027074049084704,0,0,1,0,0,0
16,Jembatan Kota Intan,Jakarta,DKI Jakarta,budaya,-0.5932444617884562,-0.9926558206126519,-2.027074049084704,0,0,0,1,0,0
17,Museum Fatahillah,Jakarta,DKI Jakarta,budaya,-0.4715182986923315,-0.5519573683383777,-2.027074049084704,0,0,0,1,0,0
18,Museum Bank Indonesia,Jakarta,DKI Jakarta,budaya,-0.5445539965500064,0.7701379884844373,-1.5220850880924341,0,0,0,1,0,0
19,Kidzania,Jakarta,DKI Jakarta,hiburan,3.910623572768159,0.329439536210163,-2.027074049084704,0,0,0,0,1,0
20,Museum Taman Prasasti,Jakarta,DKI Jakarta,budaya,-0.5445539965500064,-0.11125891606410736,-2.027074049084704,0,0,0,1,0,0
21,Museum Wayang,Jakarta,DKI Jakarta,budaya,-0.4715182986923315,-0.11125891606410736,-2.027074049084704,0,0,0,1,0,0
22,Masjid Istiqlal,Jakarta,DKI Jakarta,religi,-0.5932444617884562,0.7701379884844373,-1.5220850880924341,0,0,0,0,0,1
23,Gereja Katedral,Jakarta,DKI Jakarta,religi,-0.5932444617884562,1.2108364407587076,-1.5220850880924341,0,0,0,0,0,1
24,Museum Nasional,Jakarta,DKI Jakarta,budaya,-0.4715182986923315,0.329439536210163,-2.027074049084704,0,0,0,1,0,0
25,Pasar Tanah Abang,Jakarta,DKI Jakarta,belanja,-0.5932444617884562,-2.314751177435467,-1.0170961271001644,0,0,1,0,0,0
26,Pecinan Glodok,Jakarta,DKI Jakarta,belanja,-0.5932444617884562,-0.9926558206126519,-2.027074049084704,0,0,1,0,0,0
27,Sea World,Jakarta,DKI Jakarta,hiburan,2.206457289422413,-0.11125891606410736,-2.027074049084704,0,0,0,0,1,0
28,Wisata Agro Edukatif Istana Susu Cibugary,Jakarta,DKI Jakarta,hiburan,0.2588386798844169,-0.11125891606410736,-2.027074049084704,0,0,0,0,1,0
29,Wisata Kuliner Pecenongan,Jakarta,DKI Jakarta,belanja,-0.5932444617884562,2.0922333453072524,-1.5220850880924341,0,0,1,0,0,0
30,Taman Menteng,Jakarta,DKI Jakarta,hiburan,-0.5932444617884562,-0.11125891606410736,-2.027074049084704,0,0,0,0,1,0
31,Wisata Alam Mangrove Angke,Jakarta,DKI Jakarta,alam,0.015386353692167442,-0.9926558206126519,-2.027074049084704,1,0,0,0,0,0
32,Setu Babakan,Jakarta,DKI Jakarta,budaya,-0.5932444617884562,-0.5519573683383777,-1.5220850880924341,0,0,0,1,0,0
33,Taman Suropati,Jakarta,DKI Jakarta,hiburan,-0.5932444617884562,0.329439536210163,-2.027074049084704,0,0,0,0,1,0
34,Pasar Taman Puring,Jakarta,DKI Jakarta,belanja,-0.5932444617884562,-0.5519573683383777,-2.027074049084704,0,0,1,0,0,0
