place_id,user_rating_mean,user_rating_count,user_rating_std
1,3.7222222222222223,18,1.4473324572571657
2,2.875,24,1.3929168644626098
3,2.388888888888889,18,1.4608172124206968
4,2.857142857142857,21,1.4928400545843579
5,3.5217391304347827,23,1.3774008863003635
6,2.772727272727273,22,1.6015414652562279
7,3.0,20,1.2977713690461004
8,3.103448275862069,29,1.4963008575008023
9,2.5789473684210527,19,1.4265650070355174
10,2.7142857142857144,14,1.0690449676496976
11,2.5833333333333335,24,1.3486439781165913
12,2.8,15,1.424279266355945
13,2.7083333333333335,24,1.6805580508625224
14,3.4444444444444446,18,1.4641689962819193
15,2.7083333333333335,24,1.4589801878044117
16,3.0,19,1.4907119849998598
17,3.111111111111111,27,1.4232501627054275
18,3.4285714285714284,21,1.3627702877384937
19,2.5,18,1.6179144164088315
20,3.0,19,1.5986105077709065
21,3.24,25,1.267543556122103
22,2.9,20,1.4832396974191326
23,2.6956521739130435,23,1.3629774429099781
24,3.1739130434782608,23,1.302172098423647
25,2.32,25,1.4059397805975429
26,2.7083333333333335,24,1.2328534123049197
27,3.272727272727273,22,1.3516063875403321
28,3.588235294117647,17,1.3719886811400708
29,2.7419354838709675,31,1.237409712140213
30,3.1904761904761907,21,1.4006801069140526
31,3.375,16,1.408308678285174
32,3.4,15,1.2421180068162374
33,2.9615384615384617,26,1.076318511622623
34,3.1904761904761907,21,1.327367606168224
35,3.0,26,1.3266499161421599
36,3.2962962962962963,27,1.265361450787719
37,3.3461538461538463,26,1.4681228202655985
38,2.9130434782608696,23,1.4432615676200797
39,3.1666666666666665,24,1.307725096316589
40,3.3,20,1.490319640741189
41,2.9166666666666665,24,1.3805061033726997
42,2.6,25,1.1180339887498947
43,2.6333333333333333,30,1.2994251602637363
44,3.6315789473684212,19,1.1160708020048367
45,2.7037037037037037,27,1.203035098113703
46,2.782608695652174,23,1.312752893008721
47,2.9655172413793105,29,1.267245568171087
48,2.611111111111111,18,1.3779306261410684
49,3.076923076923077,26,1.5472059183722617
50,2.857142857142857,21,1.3147514702678331
51,3.25,12,1.712255291076124
52,3.8823529411764706,17,1.2689736473414486
53,3.413793103448276,29,1.5240275911289032
54,2.962962962962963,27,1.2854655391809042
55,3.0,31,1.5275252316519468
56,3.0344827586206895,29,1.3491467838359825
57,3.0,14,1.4142135623730951
58,2.9375,16,1.3889444433333775
59,2.857142857142857,21,1.5259657363687522
60,3.5,16,1.2649110640673518
61,3.16,25,1.3441230102437303
62,2.761904761904762,21,1.4800257398019099
63,3.1666666666666665,18,1.2485285456935957
64,2.590909090909091,22,1.3683180815491593
65,2.8947368421052633,19,1.2425214883947913
66,2.65,20,1.3088765773505315
67,3.4210526315789473,19,1.1697953037312039
68,3.08,25,1.469693845669907
69,3.2857142857142856,21,1.3469542361512192
70,3.090909090909091,22,1.3769908845391445
71,2.9473684210526314,19,1.3529262199858298
72,3.076923076923077,13,1.497861723788195
73,2.210526315789474,19,1.3975751766073286
74,2.8,25,1.224744871391589
75,2.75,20,1.4095538674570611
76,2.814814814814815,27,1.4421414908988923
77,2.4210526315789473,19,1.304513083861144
78,3.033333333333333,30,1.3514572807192966
79,3.5,22,1.224744871391589
80,3.2916666666666665,24,1.3981094896064241
81,2.6956521739130435,23,1.4596008983995232
82,3.0,23,1.2060453783110545
83,3.5714285714285716,21,1.5675276256394517
84,2.9,20,1.2937094768634556
85,2.72,25,1.4294521094927712
86,3.0833333333333335,24,1.316010660280157
87,3.0588235294117645,17,1.4777765492156671
88,3.2413793103448274,29,1.214647874129815
89,2.8333333333333335,30,1.3412123525798008
90,3.590909090909091,22,1.501081860941219
91,3.5185185185185186,27,1.3407911089057827
92,3.3333333333333335,18,1.5339299776947408
93,2.7916666666666665,24,1.3824731042801415
94,3.5,22,1.4392458342578487
95,3.375,24,1.3125646981983485
96,2.84,25,1.312757911167681
97,3.761904761904762,21,1.13599128098599
98,3.3684210526315788,19,1.5351629054269225
99,3.1363636363636362,22,1.4571810537392476
100,3.15,20,1.5985190514644287
101,2.6956521739130435,23,1.3959285801180923
